               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025438,            0.012266,          0.00077519,             0.98029,             0.97292,             0.97912,              0.4338,            0.034978,           0.0058571,            0.000272,           0.0057019,           0.0057019,           0.0057019
                  36,            0.024795,            0.010373,          0.00044279,             0.97642,             0.97468,             0.97133,             0.40258,            0.033425,           0.0057176,          0.00018503,              0.0055,              0.0055,              0.0055
                  37,            0.024635,             0.01042,          0.00074428,             0.95539,             0.95546,             0.94215,             0.37178,            0.035108,           0.0059858,          0.00020263,           0.0052981,           0.0052981,           0.0052981
                  38,            0.024961,            0.010887,          0.00053545,             0.96755,             0.96596,             0.96012,             0.40456,            0.035358,           0.0057782,          0.00018348,           0.0050966,           0.0050966,           0.0050966
                  39,            0.024942,            0.012775,           0.0006925,             0.95609,             0.95682,             0.95005,             0.40702,             0.03701,           0.0060603,          0.00028908,            0.004896,            0.004896,            0.004896
                  40,            0.023931,            0.013176,          0.00055743,             0.97642,             0.97665,             0.97434,             0.44513,            0.033268,           0.0054476,          0.00018444,           0.0046965,           0.0046965,           0.0046965
                  41,            0.024241,             0.01254,          0.00062004,             0.95945,             0.96073,             0.94918,             0.42676,            0.036563,           0.0060993,          0.00017851,           0.0044987,           0.0044987,           0.0044987
                  42,            0.023993,            0.012345,           0.0004377,             0.95821,             0.95288,             0.94668,             0.38906,            0.036512,           0.0062224,          0.00019117,           0.0043028,           0.0043028,           0.0043028
                  43,            0.023856,            0.012483,          0.00054794,             0.97066,             0.96989,             0.96354,             0.43295,            0.034181,           0.0056589,          0.00015795,           0.0041094,           0.0041094,           0.0041094
                  44,            0.023756,            0.011334,          0.00058651,             0.98103,             0.97579,              0.9728,             0.42417,            0.033296,           0.0058511,          0.00016057,           0.0039188,           0.0039188,           0.0039188
                  45,            0.023529,            0.011184,          0.00052344,             0.96242,             0.95898,             0.95356,             0.42022,            0.036366,           0.0062383,          0.00026272,           0.0037314,           0.0037314,           0.0037314
                  46,            0.023511,            0.012564,           0.0005122,             0.97386,              0.9698,              0.9681,             0.42153,            0.034257,           0.0058001,          0.00020438,           0.0035475,           0.0035475,           0.0035475
                  47,            0.023035,            0.010755,          0.00051511,             0.96131,             0.95762,             0.95499,             0.39359,            0.035705,           0.0062071,          0.00016479,           0.0033676,           0.0033676,           0.0033676
                  48,            0.023368,            0.011536,          0.00039732,             0.97052,             0.96879,             0.96309,             0.43168,            0.035408,           0.0060111,           0.0001542,            0.003192,            0.003192,            0.003192
                  49,            0.023133,            0.011719,          0.00032141,             0.96358,             0.96353,             0.95922,             0.42394,            0.033687,           0.0059866,          0.00019688,            0.003021,            0.003021,            0.003021
                  50,            0.022832,            0.011839,          0.00038433,             0.96372,             0.96073,             0.95761,             0.41498,            0.036149,            0.005931,          0.00018928,            0.002855,            0.002855,            0.002855
